CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CustomerTenureDays,Cluster,SegmentName,ProbAlive,ExpPurchases_90D,ExpAvgSpend,CLV_90D
12346,326,1,77183.6,77183.6,326,2,Loyal Customers,1.0,0.18882992870078272,416.9460280538009,77.18314156533768
12347,2,7,4310.0,615.7142857142857,367,1,Champions,0.9996980932908928,1.4087355398560577,569.9788363872387,787.1548572940642
12348,75,4,1797.24,449.31,358,2,Loyal Customers,0.9991774292051679,0.8059073704047269,333.7842346151549,263.70772933872274
12349,19,1,1757.55,1757.55,19,0,Potential Loyalists,1.0,0.8556074605824519,416.9460280538009,349.72507746716883
12350,310,1,334.40000000000003,334.40000000000003,310,3,At Risk / Hibernating,1.0,0.1963044977441553,416.9460280538009,80.23832982130457
12352,36,8,2506.04,313.255,297,2,Loyal Customers,0.9994056360781381,1.6822774067257116,376.17535872950975,620.3831665642808
12353,204,1,89.0,89.0,204,3,At Risk / Hibernating,1.0,0.2725408341327525,416.9460280538009,111.3995112365646
12354,232,1,1079.4,1079.4,232,3,At Risk / Hibernating,1.0,0.2471834875372397,416.9460280538009,101.03483474191951
12355,214,1,459.40000000000003,459.40000000000003,214,3,At Risk / Hibernating,1.0,0.26290850994245835,416.9460280538009,107.46235136551911
12356,23,3,2811.43,937.1433333333333,326,2,Loyal Customers,0.9994781788916599,0.645368389656845,324.03941879835287,205.01112653395194
12357,33,1,6207.67,6207.67,33,2,Loyal Customers,1.0,0.7297081291462637,416.9460280538009,298.26431428360155
12358,2,2,1168.06,584.03,151,0,Potential Loyalists,0.9994863742684319,0.7503904142680128,539.9071255504347,397.17177462453753
12359,58,4,6372.58,1593.145,332,2,Loyal Customers,0.9992925393826656,0.860408467070061,1515.1107660727298,1277.9709800617502
12360,52,3,2662.06,887.3533333333334,201,2,Loyal Customers,0.9991859618616311,0.9450210276267524,652.176773088504,604.1973721281865
12361,287,1,189.9,189.9,287,3,At Risk / Hibernating,1.0,0.20898906300458944,416.9460280538009,85.42307509676435
12362,3,10,5226.2300000000005,522.623,296,1,Champions,0.9997471884585591,2.428986693689429,514.789744267354,1225.8211891091632
12363,110,2,552.0,276.0,242,3,At Risk / Hibernating,0.99888006644345,0.5280583521789696,341.18648350310076,176.62234536375573
12364,8,4,1313.1,328.275,112,0,Potential Loyalists,0.9995430755886204,1.9020866652961395,282.1055202280919,526.0344534894873
12365,291,2,641.38,320.69,291,3,At Risk / Hibernating,1.0,0.20666660502882092,416.9460280538009,84.47378333598954
12367,4,1,168.9,168.9,4,0,Potential Loyalists,1.0,1.0198350377202603,416.9460280538009,416.8523623056601
12370,51,4,3545.69,886.4225,360,2,Loyal Customers,0.9993623798205298,0.8022984998333454,585.9670458834006,460.87280553234245
12371,45,2,1887.96,943.98,60,2,Loyal Customers,0.9989004906704736,1.2833104378775793,390.647280071238,491.46076842868655
12372,72,3,1298.04,432.68,297,2,Loyal Customers,0.9991825480121225,0.6964426802219004,437.4581095891788,298.6714919411638
12373,311,1,364.6,364.6,311,3,At Risk / Hibernating,1.0,0.19578783183211276,416.9460280538009,80.02714551866629
